translated_comment,sentiment
ന്യൂ യോർക്ക് ടൈംസ്,happy
ഇരുട്ടായിരുന്നു എനിക്ക് വിശ്വസിക്കാൻ പറ്റാത്തത്.,sad
ജീവിതത്തിൽ ആദ്യമായിട്ടാണത് .,happy
നിന്റെ പ്രിയപ്പെട്ടവരെക്കുറിച്ച് സംസാരിക്ക്.,happy
അത് പൊട്ടിയോ?,neutral
1 സ യ ഏതദേവം വിദ്വാനക്ഷരം വിദ്വാനക്ഷരം വിദ്വാനക്ഷരം ̐ സർവം വിദ്വാനക്ഷരം ̐ സർവം ̐ സർവം ̐ സർവം ̐ സർവം ̐ സർവം ̐ സർവം ̐ സർവം ̐ സർവം ̐ സർവം ̐ സർവം  1.,happy
സൂര്യൻ വഴിയരികെ അസ്തമിപ്പിക്കുന്നു; ചന്ദ്രൻ വഴിയരികെ സഞ്ചരിക്കുന്നു.,angry
വെളിപ്പാടിന്റെ പുസ്തകത്തിൽ എഴുതിയിരിക്കുന്നതുപോലെ ഇതിനാൽ എനിക്കും വിശ്വാസം ഉണ്ടു.,angry
വഴിയിൽ നിന്ന് പുറത്തുപോകരുത്.,angry
രാജ്യപ്രസംഗകരുടെ ആവശ്യം അധികമുള്ള രാജ്യത്തെമ്പാടും പ്രസംഗിക്കുന്നത് എത്ര സന്തോഷകരമാണ് !,sad
"മുഴുസമയ ശുശ്രൂഷയിൽ നേതൃത്വമെടുക്കുന്നവർ സന്തുഷ്ടർ, മേയ്",happy
ഇന്ത്യക്ക് അക്രമത്തിന്റെ നീണ്ട ചരിത്രമുണ്ട്,fear
"ഞാൻ എന്നും ഒരു പാട്ടു പാടുമായിരുന്നു, യഹോവയ് ക്കു സ് തുതിഗീതങ്ങൾ പാടുമായിരുന്നു.",happy
"പോലീസിനെയോ ധനവാനെയോ ധനവാനെയോ, സാധുക്കളെയോ, കുരുടരെയോ, കുരുടൻ , മുടന്തൻ , മുടന്തൻ , മുടന്തൻ ,",happy
അവൻ അത് ഉപയോഗിക്കും.,neutral
ചോദ്യങ്ങൾ ചോദിക്കേണ്ടത് പ്രധാനമാണ്,neutral
100 -ാം ആണ്ടോടെ റോമാ സാമ്രാജ്യം ലോകത്തിലെ ഏറ്റവും വലിയ നഗരമായിത്തീർന്നതായി കണക്കാക്കപ്പെടുന്നു.,angry
ഇപ്പോൾ അദ്ദേഹം 80 - കളുടെ മധ്യത്തിലാണ് .,neutral
"ഇതാ, ഇതു ആഴ്ചവട്ടത്തിന്റെ അവസാനദിവസം! ഒരു പുതിയ കൂടാരം, തിരുനിവാസം, കൂടാരം, കൂടാരം, തിരുനിവാസം, തിരുനിവാസം, തിരുനിവാസം, തിരുനിവാസം, തിരുനിവാസം, തിരുനിവാസം എന്നിവ പണിയേണ്ട സമയം.",happy
ഈ വീഡിയോ വായിക്കാൻ പോവുകയാണ്.,neutral
ഈ വ്യവസ്ഥിതിയിൽ സഹിച്ചുനിൽക്കാൻ ആവശ്യമായ ശക്തിയും ധൈര്യവും അവർക്കുണ്ടോ?,angry
തത് ഫലമായി കുഞ്ഞിനും കുഞ്ഞിനും പരിചരണം നൽകാൻ ഡോകടർക്കു കഴിഞ്ഞു.,sad
""" നിന്റെ ദൈവമായ യഹോവയുടെ നാമത്തെ നീ മറക്കാതിരിപ്പാൻ ഞാൻ ഇന്നു നിന്നോടു കല് പിക്കുന്ന അവന്റെ കല് പനകളും ചട്ടങ്ങളും വിധികളും പ്രമാണിച്ചുനടക്കാതെയിരിക്കേണ്ടതിന്നു നിന്റെ ദൈവമായ യഹോവയുടെ നാമം ഔർപ്പിക്കരുതു.",fear
വർഷങ്ങളോളം ഈ വേലയിൽ പങ്കെടുക്കാൻ കഴിഞ്ഞതിൽ ഞാൻ യഹോവയോടു വളരെ നന്ദിയുള്ളവളാണ് .,happy
"ദ ലണ്ടൻ ടൈംസ് ഓഫ് ദ ടൈംസ് എന്ന ലേഖനം ഇങ്ങനെ പ്രസ് താവിച്ചു: ""സഹിഷ് ണുതയ് ക്ക് ഉള്ളതിനെക്കാൾ ഹൃദയത്തിന് രോഗിയെ സംബന്ധിച്ചിടത്തോളം വലിയ ഒരു പ്രശ് നമാണ് പ്രശ് നം. """,fear
നിനക്കു തന്നേ ജ്ഞാനിയായിരിക്കരുതു; നിനക്കു ബോധിച്ചവനായിരിക്കയുമരുതു.,angry
ചിത്രം മാറിയിരിക്കുന്നു എന്നറിയിക്കുന്നതിനായി ഉപയോഗിക്കുന്നു,angry
കണ്ണീർകണ്ണിൽ തുളുമ്പുന്നൊരു ദ്വാരമുണ്ടു്.,sad
നമ്മുടെ വിശ്വാ സം അന്യാ യ മാ യി പങ്കു വെ ക്കാ ത്ത വ രും നമ്മുടെ വിശ്വാ സ ത്തി ന്റെ ഭാഗമാ യി രി ക്കാ ത്ത വ രും തമ്മിലുള്ള എത്ര വ്യത്യാ സം!,neutral
യഹോവയുടെ നാമം വിളിച്ചിരിക്കുന്ന എല്ലാപട്ടണങ്ങളും അനുഗ്രഹിക്കപ്പെടും.,neutral
എത്ര പേർ കൃത്യസമയത്ത് ഉറങ്ങുകയായിരുന്നു?,neutral
"നിന്റെ കണ്ണുകളില്ലാതെ ആകാശത്തിലേക്കു നോക്കരുത്. നോക്കു, കാണുവാൻ കണ്ണു ഇല്ല.",angry
രാജാവിന്റെ പടിവാതിൽ ഉള്ള യെഹൂദന്മാർ അതു രാജാവിന്റെ അല്ലെന്നു കേട്ടപ്പോൾ അവർ അത്യുച്ചത്തിൽ ആർത്തു.,happy
"ഉദാഹരണത്തിന് , ഐക്യനാടുകളിലെ ഒരു ഹൈസ് കൂൾ അധ്യാപിക യഹോവയുടെ സാക്ഷികളോടൊത്തു ബൈബിൾ പഠിക്കാൻ തുടങ്ങി.",neutral
കാത്തിരിക്കാൻ സമയമായി എന്ന് അവർ മനസ്സിലാക്കും!,sad
രാ :- ഞാൻ എന്നും രാമായണം കേട്ടുകൊണ്ടിരിക്കുകയായിരുന്നു. അടുത്ത ദിവസം കാണുവാൻ റേഡിയോ സ്റ്റേഷനിൽ പോവുന്നു.,sad
11 അവൻ ഈ വചനങ്ങളൊക്കെയും അപ്പനോടു പറഞ്ഞു തീർന്നശേഷം വസ്ത്രം കീറി.,fear
"ഒന്നാമത്തവൻ , ഒടുക്കത്തവൻ , പിമ്പൻ , പിമ്പൻ , പിമ്പൻ , പിമ്പന്മാർ.",angry
ഹാപ്പി ബർത്ത്ഡേ എന്റെ പിറന്നാൾ പിറന്നാൾ ആണ്.,happy
കറൻസി,happy
സംഗീതം സംഗീതത്തിൽ ഉപയോഗിച്ചിരുന്നു.,happy
മൃഗത്തിന്റെ ഏഴാമത്തെ തലയും മൃഗത്തിന്റെ ഏഴാമത്തെ തലയും തമ്മിലുള്ള വ്യത്യാസം എത്ര വ്യത്യസ് തമാണ് !,neutral
1യാക്കോബ് വയോധികനായപ്പോൾ അവന്റെ പുത്രന്മാർ അവനോടുകൂടെ ഉണ്ടായിരുന്നില്ല.,angry
തീ നിന്റെ വീട്ടിൽനിന്നു പുറപ്പെട്ടിരിക്കുന്നു; തീ നിന്റെ കണ്ണു ദഹിച്ചിരിക്കുന്നു.,angry
രാജ്യ പ്ര ചാ ര ക രു ടെ ആവശ്യം അധിക മു ള്ളി ടത്ത് രാജ്യ ഹാൾ നിർമി ച്ചി രി ക്കു ന്നു.,happy
"പാട്ടല്ല,ിന്റെ. s.",neutral
കമ്മ്യൂണിസ്റ്റ് പാർട്ടി ഓഫ് ഇന്ത്യയുടെ യൂണിയൻ കമ്മിറ്റിയുടെ പ്രസിഡന്റായിരുന്നു എന്റെ സഹോദരൻ.,happy
ഇന്ത്യയിലെ ഗ്രാമങ്ങളുടെ പട്ടിക,neutral
സീയോൻ പുത്രിയുടെ ഗിരിമുതൽ ഞങ്ങളുടെ അപ്പന്റെ ഗൃഹംവരെ നിന്നോടുകൂടെ എഫ്രയീംമലനാട്ടും നിങ്ങളോടുകൂടെ ഉള്ളവർ ഭാഗ്യവാന്മാർ.,happy
ഇത് എനിക്ക് വേണ്ടിയാ.,neutral
ഭരണസംഘത്തിലെ ഓരോ അംഗത്തിനും സ്വന്തമായി ഒരു നിയമനം ഉണ്ട്.,sad
തത് ഫലമായി ലോകത്തിന്റെ വ്യത്യസ് ത ഭാഗങ്ങളിൽ ജീവിക്കുന്നവരുടെ എണ്ണം 40 ശതമാനത്തിലധികം വർധിച്ചിരിക്കുന്നു.,angry
കുട്ടി ക ളോ ടൊ പ്പം ബൈബിൾ വായി ക്കാ നും പഠിക്കാ നും നിങ്ങൾ സമയം കണ്ടെത്തണം.,neutral
ചില രാജ്യങ്ങളിൽ ഒരു അമ്മയ് ക്ക് ഒരു കുഞ്ഞ് ഉണ്ടായിരിക്കുന്നത് സാധാരണമാണ് .,happy
ഞാൻ ആഴിയെ സമുദ്രമദ്ധ്യേ നിന്നു പുറത്താക്കിക്കളഞ്ഞു.,sad
നിങ്ങൾ ഒരു മാതാവോ പിതാവോ ആണെങ്കിൽ കുട്ടിയുടെ ആദ്യ പ്രതികരണം കുട്ടിയുടെ തലച്ചോറിന്റെ വളർച്ചയിൽ ഒരു പങ്കുവഹിച്ചതായി നിങ്ങൾ കണ്ടെത്തിയേക്കാം.,happy
മരിച്ചവർ ഒന്നും അറിയുന്നില്ലെന്ന് ഞങ്ങൾ വിശ്വസിക്കുന്നു.,happy
സ് നേഹം ദൈവത്തിൽനിന്നുള്ള ദാനമാണ് ; സ് നേഹമോ ആത്മികവർദ്ധന വരുത്തുന്നു.,happy
എന്റെ മൂത്ത സഹോ ദ രങ്ങൾ എനിക്ക് പ്രോ ത്സാ ഹ ന ത്തി ന്റെ ഒരു ഉറവാണ്,happy
യഹോവയുടെ സാക്ഷികളുടെ ഭരണസംഘത്തിലെ ഒരംഗമായി സേവിക്കാൻ കഴിഞ്ഞത് എത്ര വലിയ പദവിയായിരുന്നു!,happy
ക്രമേണ അദ്ദേഹം യഹോവയുടെ സാക്ഷികളുടെ ഒരു സാധാരണ പയനിയറായി അഥവാ മുഴുസമയ ശുശ്രൂഷകനായി.,happy
[ 2 -ാം പേജിലെ ചിത്രങ്ങൾക്ക് കടപ്പാട് ],angry
1957 ഒകേടാബറിൽ എന്റെ വിവാഹത്തിന്റെ ആദ്യ വർഷത്തോടെ,happy
അവർ എന്തോ പറയാൻ തുടങ്ങി.,sad
ക്രിസ് തുമസ്സിന്റെ വാർഷികം,happy
"യോശുവ പറഞ്ഞപ്രകാരം, ""നീതിമാൻ മനസ്സിൽ ആലോചിച്ചു ഉത്തരം പറയുന്നു. """,happy
ഈ വാക്കുകളുടെ അർഥം മനസ്സിലാക്കാൻ കഴിയുന്നത് എത്ര വലിയ സന്തോഷമാണ് !,angry
നിനക്ക് ബെർബറിൽ പാടണോ?,angry
"അതു വെറുതെ എന്റെ അടുക്കലേക്കു മടങ്ങിവരാതെ എനിക്കു ഇഷ്ടമുള്ളതു നിവർത്തിക്കയും ഞാൻ അയച്ച കാര്യം സാധിപ്പിക്കയും ചെയ്യും. """,sad
സിംഹത്തിന്റെ ശക്തികൊണ്ടു നീ മരിക്കും; സിംഹിയുടെ കയ്യിൽനിന്നും സിംഹത്തിന്റെ വായിൽനിന്നും നീ രക്ഷിക്കപ്പെടുകയില്ല.,angry
ലോകത്തിന്റെ പല ഭാഗങ്ങളിലും അഴിമതി സാധാരണമായിരിക്കുന്ന ഒരു ലോകത്തിൽ നിങ്ങൾ ജീവിക്കുന്നു.,angry
"അങ്ങനെ, കൂടുതൽ ആളുകളെ ബൈബിൾ മനസ്സിലാക്കാനും സഹായിക്കാനും നിങ്ങൾക്കു കഴിയും.",angry
പോലീസ് പോലീസിനെ ആക്രമിച്ചു.,fear
"എന്നാൽ, തന്റെ സ്വർഗീയ പിതാവും പിതാവും തമ്മിലുള്ള ബന്ധം ക്രമേണ ശക്തമായിത്തീർന്നു.",angry
ഈ ലേഖനം വായിച്ചതിനു നന്ദി.,happy
ആദ്യം എന്ത് ചെയ്യണമെന്ന് എനിക്കറിയില്ലായിരുന്നു.,sad
ഈ ലേഖനത്തിനു നന്ദി.,happy
"ഉദാഹരണത്തിന് , ക്രിസ് തുവിന്റെ മരണത്തിന്റെ സ് മാരകത്തിന് ഹാജരായവരിൽ 70 ശതമാനത്തിലധികം പേർ തങ്ങളുടെ പ്രിയപ്പെട്ടവരുടെ മരണത്തിന് ഇടയാക്കിയതായി ലോകാരോഗ്യ സംഘടന നടത്തിയ ഒരു സർവേ വെളിപ്പെടുത്തി.",neutral
ആസായുടെ പുത്രനായ യെഹോശാഫാത്ത് രാജാവായി ഭരണം തുടങ്ങിയില്ല,happy
"എങ്കിലും യഹോവയിൽ ആശ്രയിക്കാൻ ഞാൻ പഠിച്ചിരിക്കുന്നു. "" — ഫിലിപ്പിയർ 4: 8 - 8.",angry
എ സ് . എ. - യിലെ ഒഹായോയിലുള്ള സീഡാർ പോയിൻറിലുള്ള യഹോവയുടെ സാക്ഷികളുടെ രാജ്യഹാളിൽ നടന്ന യഹോവയുടെ സാക്ഷികളുടെ രാജ്യഹാളിൽ അവർ സംബന്ധിക്കാൻ തുടങ്ങി.,angry
കുറച്ച് മാസങ്ങൾക്ക് ശേഷം അവർക്ക് രാജ്യം വിടണം.,neutral
ചായ അധികം കഴിക്കാറില്ല.,angry
17 അവർ ദേശത്തു എത്തിയശേഷം ഞാൻ അവർക്കും കൊടുത്ത ദേശത്തേക്കു അവർ പോകയില്ല.,angry
നീ ഈ നഗരത്തിന്റെ പടിവാതിലുകളിൽ കയറരുതു; നിന്റെ ഹിംസകാലം അടുത്തിരിക്കുന്നു.,angry
ഈ പ്രോഗ്രാമിൽ സമർപ്പിയ്ക്കാത്ത മാറ്റങ്ങളുണ്ടു്. നിങ്ങൾക്കു് ആവശ്യാനുസരണം സ്ഥലം ലഭിക്കുന്നതുവരെ ദയവായി കാത്തിരിക്കുക.,sad
അവൻ വരുന്നു എന്നു പുരുഷാരത്തോടു പറഞ്ഞു; അവൻ നിങ്ങളുടെ അടുക്കൽ വരുന്നു.,angry
"16 -ാം നൂറ്റാണ്ടിൽ പുരാതന ഈജിപ് തിലെ ആദ്യത്തെ രാജാവായിരുന്ന ഗോത്രപിതാവായ അബ്രാഹാമിനെ ""വിശ്വസിക്കുന്ന ഏവരുടെയും പിതാവായി "" എന്നു വിളിച്ചിരുന്നു.",happy
"ദൈവനാമം ബൈബിളിൽ 7,000 - ത്തോളം പ്രാവശ്യം കാണാം.",angry
എന്നാൽ അത്തരമൊരു പ്രതിജ്ഞയ് ക്ക് തിരുവെഴുത്തുപരമായ യാതൊരു അടിസ്ഥാനവുമില്ലെന്നാണോ ഇതിനർഥം?,angry
ലോകാരോഗ്യ സംഘടനയുടെ കണക്കുകൾ പ്രകാരം 1 ശതമാനത്തിലധികം ആളുകളാണ് ഈ രോഗം ബാധിച്ചത് .,fear
അവൻ വൃദ്ധനും നരച്ചവനുമായപ്പോൾ തന്റെ അപ്പന്റെ ആട്ടിൻ കൂട്ടത്തെ ഫറവോന്റെ പുത്രന്മാരുടെ കയ്യിൽ നിന്നു എടുത്തു.,neutral
"വാസ് തവത്തിൽ, ഈ പ്രദേശത്തുള്ള രാജ്യഘോഷകരുടെ എണ്ണം ഓരോ വർഷവും പകുതിയിലധികം വർധിച്ചിരിക്കുന്നു.",angry
"വാസ് തവത്തിൽ, ഐക്യനാടുകളിൽ നിരവധി വിദ്യാർഥികൾ ഇപ്പോൾ യഹോവയുടെ സാക്ഷികളോടൊത്തു ബൈബിൾ പഠിക്കുന്നുണ്ട്.",happy
"(The New York Times of India). മൂലതാളിൽ (PDF) നിന്നും January 3, 2017-ന് ആർക്കൈവ് ചെയ്തത്. ശേഖരിച്ചത് January 5, 2017.",neutral
"ഒരു കളിയല്ല, മറിച്ച് സുഹൃത്തുക്കൾ, സുഹൃത്തുക്കൾ, സുഹൃത്തുക്കൾ, സുഹൃത്തുക്കൾ എന്നിവയുടെ സഖിത്വം ആസ്വദിക്കാൻ കുട്ടികളെ പ്രാപ് തരാക്കുന്ന ഒരു കളിയാണ് അത് .",sad
അടുത്ത തവണ നിങ്ങൾ ഈ സ്ഥലത്തേക്ക് താമസം മാറുമ്പോൾ നിങ്ങൾ വൈകും.,fear
യഹോ വ യു ടെ സാക്ഷി ക ളിൽ ഒരാളാ യി രി ക്കു ന്നത് എത്ര വലിയ പദവി യാണ് !,neutral
അവൾക്കെങ്ങനെ നടക്കണമെന്ന് അറിയില്ല.,sad
2012 ജനുവരിയിലെ ദ ന്യൂയോർക്ക് ടൈംസ് ഞായറാഴ്ച റിലീസ് ചെയ്തു.,happy
ദേശത്തു ക്ഷാമം ഉണ്ടാകും; ദേശത്തു ക്ഷാമം ഉണ്ടാകയില്ല.,sad
"നിങ്ങൾ ഒരു അമ്മയാണെങ്കിൽ, അവളുടെ അച്ഛന്റെ വീട്ടിലേക്ക് പോ.",angry
അവന്റെ അമ്മയുടെ ഉദരത്തിൽ നീ എന്റെ അപ്പന്റെ മുഖം കണ്ടിരിക്കുന്നു.,angry
ഒരു കുഞ്ഞിന്റെ ജനനം,happy
"ഓ, നമുക്ക് ഒരു കുഞ്ഞുണ്ടാകാൻ പോവുകയാണ്!",happy
"നിങ്ങൾ ലോകത്തിന്റെ ഭാഗമല്ല, നാം ലോകത്തിന്റെ ഭാഗമല്ലല്ലോ.",angry
സോവിയറ്റ് യൂണിയനിൽ തോറ്റു!,angry
21 തന്റെ പഴയതു തിന്നുന്നതിനെക്കാൾ മനുഷ്യന്നു മറ്റൊരു നന്മയുമില്ല.,sad
കർത്താവിന്റെ വേലയ് ക്കായി സംഭാവന ചെയ്യുന്ന എല്ലാവർക്കും കഠിനാധ്വാനം ചെയ്യുന്നവരുടെമേൽ നല്ല ഫലമുണ്ട്.,happy
"പിറ്റേ വർഷം, ബ്രുക്ലിൻ ബെഥേലിൽനിന്നുള്ള ഒരു കത്തു ഞങ്ങൾക്കു ലഭിച്ചു.",happy
എന്റെ കോഫിയിൽ ചായയുണ്ടോ?,angry
പല ദേശങ്ങ ളി ലും വിവാ ഹ മോ ചനം വിവാ ഹ മോ ച ന ത്തി ന്റെ കാര്യ മെ ടു ക്കു ന്നത് വിവാ ഹ മോ ചനം ആയിരി ക്ക ണ മെ ന്നാണ് .,neutral
"നീ ഒരു വേശ്യയെ എടുക്കേണം; പരസംഗം, വേശ്യ, വേശ്യാസ്ത്രീ എന്നിവെക്കു പകരം ഒരു വേശ്യയെ എടുക്കേണം; ഇങ്ങനെ നിങ്ങൾ വേശ്യയെ ഉണ്ടാക്കേണം; വേശ്യാവൃത്തിയെ തിന്നേണം.",fear
പ്രശ് നത്തിന് ഒരു പരിഹാരം കണ്ടുപിടിയ്ക്കാൻ കഴിഞ്ഞില്ല,neutral
"നമുക്ക് ഒരു കുഞ്ഞ് ഉണ്ടാകാൻ പോകുന്നു, നമുക്ക് ഒരു കുഞ്ഞുണ്ടാകാൻ പോകുന്നു.",neutral
ഞാൻ നിങ്ങളോട് എല്ലാം പറഞ്ഞു.,neutral
യഹോ വ യെ യും അവന്റെ ഉദ്ദേശ്യ ങ്ങ ളെ യും കുറിച്ച് പഠിക്കാൻ ആ ആളുകളെ സഹായി ച്ചത് എത്ര സന്തോ ഷ ക ര മാ യി രു ന്നു!,fear
രാജഭരണം സംബന്ധിച്ചെന്ത്?,neutral
നമ്മുടെ ദൈവത്തിന്റെ തേജസ്സു മൂന്നായിരത്തഞ്ഞൂറ്റമ്പതു ആയിരുന്നു!,happy
"സ്വർഗ ത്തിൽ ക്രിസ് തു വി നോ ടൊ പ്പം ഭരിക്കു ന്ന വ രു ടെ മഹത്തായ ഭാവി യെ ക്കു റിച്ച് നമുക്ക് ഇപ്പോൾ പഠിക്കാ നാ കും. "" — 2 കൊരി.",happy
"കൺ വെൻ ഷ നു ശേഷം അധികം വൈകാ തെ, ഞങ്ങൾക്കി ട യി ലെ ബ്രാ ഞ്ചോ ഫീ സി ലെ ബ്രാ ഞ്ചോ ഫീ സിൽ സേവി ക്കാൻ ക്ഷണം ലഭിച്ചു.",sad
മൂപ്പന്മാർ സഭയിൽ നേതൃത്വമെടുക്കുന്നു,happy
ഏതാനും ആഴ് ചകൾക്കു ശേഷം ഞങ്ങൾ ഐക്യനാടുകളിലേക്കു മടങ്ങി.,fear
അവൾ നിന്റെ സഹോദരനാണെന്ന് നിനക്കെങ്ങനെ അറിയാം?,angry
1 സ യ ഏതദേവം വിദ്വാനക്ഷരം വിദ്വാനക്ഷരം വിദ്വാനക്ഷരം ̐ സർവം വിദ്വാന്വിദ്വാനക്ഷരം ̐ സർവം ̐ സർവം ̐ സർവം ̐ സർവം ̐ സർവം ̐ സർവം ̐ സർവം ̐ സർവം ̐ സർവം ̐ സർവം വിദ്വാന്വിദ്വാന്വിദ്വാന്വിദ്വാന്വിദ്വാന്വിദ്വാന്വിദ്വാന്വിദ്വാന്വിദ്വാന്വിദ്വാന്വിദ്വാന്വിദ്വാന്വിദ്വാന്വിദ്വാന്വിദ്വാന്വിദ്വാന്വിദ്വാന്വാം  1.,neutral
( പൂർണരൂപത്തിൽ കാണുന്നതിന് പ്രസിദ്ധീകരണം നോക്കുക),neutral
അതുകൊണ്ട് ടിവി കാണുന്നതും വീഡിയോ ഗെയിമുകൾ കളിക്കുന്നതും വീഡിയോ ഗെയിമുകൾ കളിക്കുന്നതും പോലുള്ള വീഡിയോ ഗെയിമുകളുടെ അപകടങ്ങളെക്കുറിച്ചു നമുക്കു സംസാരിക്കാം,angry
മറ്റുള്ളവരെ ശരിയായതു ചെയ്യാൻ പ്രേരിപ്പിക്കരുത്,angry
"പോലീസുകാർക്ക് ഒരു വഴിയും കിട്ടിയില്ല, പോലീസുകാർക്ക് പോലീസിൽ ഒരു സ്ഥലം പോലും കിട്ടിയില്ല.",angry
നീ എപ്പോഴെങ്കിലും തെറ്റായ സ്ഥലത്തേക്ക് പോയിട്ടുണ്ടോ?,angry
എന്നാൽ നന്മ ചെയ്യുന്നതിൽ മടുത്തുപോകുന്നത് എല്ലായ് പോഴും എളുപ്പമല്ല!,happy
ഈ കുഴിയിൽ ഒരു ദ്വാരമുണ്ട്.,neutral
വലംകൈയിൽ കമ്മ്യൂണിസ്റ്റ് പാർട്ടിയുടെ യുണൈറ്റഡ് സ്റ്റേറ്റ്സ് ബ്രാഞ്ച് കമ്മിറ്റിയിൽ അംഗമായിരുന്നു അദ്ദേഹം. കമ്മ്യൂണിസ്റ്റ് പാർട്ടി ഓഫ് ഇന്ത്യയുടെ യുണൈറ്റഡ് സ്റ്റേറ്റ്സ് ബ്രാഞ്ച് കമ്മിറ്റി അംഗമായിരുന്നു അദ്ദേഹം. കമ്യൂണിസ്റ്റ് പാർട്ടിയുടെ അംഗമായി അദ്ദേഹം തിരഞ്ഞെടുക്കപ്പെട്ടു.,happy
"3 രാത്രിയിലെ മൂന്നാം യാമത്തിൽ, സംസാരിപ്പാൻ ഒരു കാലവും ഒരു കാലവും ഒരു കാലവും ഉണ്ടാകും.",neutral
21 ബുദ്ധിമാന്മാരൊക്കെയും ബുദ്ധിമാന്മാരൊക്കെയും ഹൃദയപരമാർത്ഥികളായിരിക്കും.,happy
"നീ എന്റെ സഹോദരിയാണ്, എന്റെ പെങ്ങൾ.",happy
ഐക്യനാടുകളിൽ എച്ച്ഐവി / എയ് ഡ് സ് ബാധിച്ചവരിൽ പകുതിയിൽ അധികവും എച്ച്ഐവി / എയ് ഡ് സ് ബാധിച്ചവരിൽ പകുതിയിലധികവും...,neutral
"രണ്ടാം നിര, മൂന്നാമത്തവൻ , മൂന്നാമത്തവൻ , മൂന്നാമത്തവൻ .",angry
യഹോവയെ അറിയാൻ മക്കളെ സഹായിക്കുന്നതിൽ പ്രായമായ പലരും വലിയ സന്തോഷം കണ്ടെത്തിയിരിക്കുന്നു,happy
ദൈവത്തോട് അടുത്തുചെല്ലുന്നതാണ് ഏറ്റവും നല്ലത് എന്ന് നമുക്ക് അറിയാം,angry
ജെയിംസ് ബി.,neutral
മരണഭയം മഹാനാശത്തിന്റെ ദേശത്തുണ്ടു.,sad
1991-ൽ അമേരിക്കയിലെ കാലിഫോർണിയ സർവകലാശാലയിൽ ഡോക്ടറേറ്റ് ആയിരുന്നു.,happy
"അവിടെ ഞങ്ങൾ ഒരു വീട് കണ്ടെത്തി, പക്ഷേ ഒളിക്കാൻ ഒരു സ്ഥലം പോലും കിട്ടിയില്ല.",neutral
ഭയമില്ലാതെ ജീവിക്കുക എന്നത് എനിക്ക് അത്ര എളുപ്പമായിരുന്നില്ല,angry
മഹാരാഷ് ട്രയുടെ തലസ്ഥാനം എന്താണ് ?,angry
ആ സ്ത്രീയുടെ കണ്ണുകൾ അവളുടെ കട്ടിലിൽ ഉണ്ട്.,happy
ഇത് ഒരു ബിസിനസ് ആണ്.,happy
ഞാനെന്തു ചെയ്യണം?,happy
"ഉദാഹരണത്തിന് , ഐക്യനാടുകളിൽ യഹോവയുടെ സാക്ഷികൾ നടത്തിയ ഒരു സർവേ വെളിപ്പെടുത്തുന്നത് , ക്രിസ് തുവിന്റെ മരണത്തിന്റെ സ് മാരകത്തിന് ഹാജരാകുന്നവരിൽ 80 ശതമാനത്തിലധികം പേർ ക്രിസ് തുവിന്റെ മരണത്തിന്റെ സ് മാരകത്തിന് പോയിട്ടുണ്ടെന്നാണ് .",sad
ഐക്യനാടുകളിൽ വിദ്യാർത്ഥികളുടെ എണ്ണം 40 ശതമാനമായി വർധിച്ചു.,happy
പ്രശ്നം കൂടുതൽ മോശമാകുന്നു.,neutral
23 അവർ അവരോടു ഉടമ്പടി ചെയ്തു; തങ്ങളുടെ പിതാക്കന്മാരോടു അവർ ഉടമ്പടി ചെയ്തു; തങ്ങളുടെ പിതാക്കന്മാരോടു അവർ ഉടമ്പടി ചെയ്തു.,happy
ഈ ദുഷ്ടവ്യ വ സ്ഥി തി യു ടെ അന്ത്യത്തി നാ യി നമ്മൾ തയ്യാറാ യി രി ക്കു ന്നു വെന്ന് അടുത്ത ലേഖന ത്തിൽ നമ്മൾ പഠിക്കും.,neutral
"അങ്ങനെ അവർ മേലാൽ രണ്ടല്ല, ഒരു ദേഹമത്രേ.",neutral
"നമുക്ക് നേരിട്ട് കാണാം, നമുക്ക് ജോണിന്റെ അക്കൗണ്ടിനെ പറ്റി സംസാരിക്കാം.",neutral
പ്രലോഭനത്തിനെതിരെ പോരാടാൻ നിങ്ങൾക്കു കഴിയും,happy
"ഓ, പടി ഒരു പ്രശ്നമാകും.",happy
2. ആത്മഹത്യ ചെയ്യുന്നത് ഒരു കുറ്റമാണെന്നു യുണൈറ്റഡ് സ്റ്റേറ്റ്സിൽ പറയപ്പെടുന്നു.,sad
വിമാനം ഇന്നലെ ട്രെയിനിൽ എത്തിച്ചു.,angry
വഴിയുടെ ഇടത്തുനിന്നു നോക്കിയാൽ വഴി ശരിയാണെന്നു കാണാം.,happy
ലോകമെമ്പാടും പകുതിയിലധികം ആളുകൾ ദൈവത്തോടുള്ള തങ്ങളുടെ സമർപ്പണത്തിന്റെ പ്രതീകമായി സ് നാപനമേറ്റതായി കണക്കാക്കപ്പെടുന്നു.,happy
"എനിക്ക് ഈ കമ്പ്യൂട്ടർ അറിയാം, പക്ഷേ എനിക്കറിയില്ല.",neutral
25 ആരുടെ കരവി രുത് ?,angry
"അതേ, സാത്താൻ നമ്മുടെമേൽ കൊണ്ടുവന്നേക്കാവുന്ന ഏതു പരിശോധനകളെയും സഹിച്ചുനിൽക്കാൻ ദൈവാത്മാവിനു നമ്മെ സഹായിക്കാനാകും.",happy
നിന്നെ കണ്ടിട്ട് നിന്റെ അമ്മയെ പോലെ തോന്നുന്നില്ല.,angry
